applicant_id,name,mobile,state,district,occupation,years_in_occupation,applicant_type,monthly_income_estimate,income_seasonality,upi_transactions_per_month,upi_avg_ticket_size,upi_merchant_diversity,upi_consistency_score,upi_inflow_outflow_ratio,utility_electric_on_time_pct,utility_water_streak_months,utility_mobile_recharge_amt,bank_avg_monthly_balance,bank_income_credit_regularity,bank_zero_balance_months_past_12,mgnrega_days_worked,mgnrega_wage_regularity,mobile_sim_age_months,mobile_sim_changes_2yr,mobile_data_usage_trend,trade_regular_suppliers,trade_regular_customers,trade_monthly_purchase_value,trade_tenure_years,asset_ownership_status,asset_years_at_address,asset_vehicle,social_shg_member,social_shg_tenure_years,social_mfi_repaid_count,repayment_probability
4765f74a,Jairaj Lall,07368945696,West Bengal,Bathinda,Tailor,5,Individual,43345.11,Stable,29,2868.49,8,0.99,1.15,81.01,8,199,8543.38,0.98,1,0,0.87,41,0,0.33,3,62,29121.33,5,Own House,6,Goods Vehicle,1,2,0,1
0b2786d9,Samuel Agate,+913605678429,Rajasthan,Panipat,Farmer,4,Partnership,44478.08,Stable,22,584.17,6,0.84,1.38,85.94,8,299,11634.56,0.75,0,0,0.45,25,0,0.51,9,68,27620.9,4,Own House,9,None,1,1,1,1
8404f499,Kamya Kibe,+915658840971,Maharashtra,Panipat,Tailor,6,Proprietorship,49205.78,Seasonal,35,1692.25,10,0.87,1.15,80.39,8,199,9968.61,0.94,1,50,0.51,41,1,0.73,4,87,24053.28,6,Rented,9,None,1,3,0,1
00733163,Aashi Soman,5821999982,Uttar Pradesh,Hazaribagh,Food Stall Owner,2,Partnership,20099.57,Stable,3,180.08,1,0.46,1.44,58.0,5,499,100.21,0.55,5,0,0.48,1,0,0.33,2,18,9095.65,2,Rented,4,Auto,0,0,0,0
4c2fd6eb,Adweta Koshy,8974287435,Rajasthan,Bangalore,Small Trader,4,Partnership,45614.57,Irregular,41,2076.0,12,0.77,1.16,87.4,8,499,14009.93,0.71,1,30,0.49,45,0,-0.04,2,67,21296.45,4,Own House,3,Two-Wheeler,1,3,1,1
7fc9f360,Chaitanya Narasimhan,5585515006,Rajasthan,Madanapalle,Small Trader,2,Proprietorship,32295.17,Irregular,43,2849.83,12,0.97,1.25,96.54,9,199,12659.65,1.0,1,0,0.63,31,0,0.55,4,22,15555.5,2,Own House,4,Two-Wheeler,1,3,1,1
ffebdab8,Janani Solanki,0927730111,West Bengal,Indore,Construction Worker,3,Proprietorship,42942.05,Seasonal,22,1429.83,6,0.47,0.99,79.63,7,699,2307.71,0.53,0,0,0.39,51,0,0.5,7,29,31900.43,3,Family,4,Two-Wheeler,1,3,0,1
a3c8a031,Triveni Ratti,+913523990469,West Bengal,Thiruvananthapuram,Small Trader,1,Individual,8395.85,Stable,19,809.08,5,0.72,0.9,70.89,7,699,2063.95,0.7,3,0,0.55,14,0,0.64,1,7,5309.89,1,Rented,1,None,1,3,0,0
eda4bc97,Inaya Pillay,+910616499007,Rajasthan,Bihar Sharif,Artisan,4,Proprietorship,31547.77,Seasonal,56,2373.04,16,0.86,1.27,79.99,7,499,5632.42,0.83,0,0,0.4,14,0,0.15,8,65,21034.86,4,Family,1,None,1,3,1,1
2cca4650,Balhaar Chahal,+916277967948,Rajasthan,Haldia,Street Vendor,1,Partnership,8720.68,Stable,9,941.08,2,0.23,1.36,28.07,2,699,1937.37,0.29,8,0,0.6,11,2,0.11,1,9,4746.66,1,Rented,1,None,0,0,0,0
a2abb1d4,Dayita Gade,1520882441,Uttar Pradesh,Chinsurah,Tailor,6,Individual,28917.22,Stable,54,1340.78,16,0.78,1.11,74.16,7,299,8725.6,0.73,0,30,0.55,11,0,0.53,12,104,14458.14,6,Family,12,Two-Wheeler,0,0,1,1
92566e7f,Ekavir Balay,+916831226180,Uttar Pradesh,Lucknow,Street Vendor,6,Partnership,43107.65,Stable,66,1579.51,19,0.77,1.19,100.0,10,499,14173.52,0.68,0,0,0.88,42,0,0.55,14,32,25310.39,6,Rented,11,None,1,3,0,1
7487f9fe,Harshil Gaba,+914413184283,West Bengal,Agra,Small Trader,6,Individual,33592.04,Stable,62,747.18,18,0.84,1.31,92.55,9,299,3410.36,0.81,3,100,0.61,18,0,-0.04,0,70,14099.92,6,Own House,2,Two-Wheeler,0,0,1,1
e4538d95,Pranav Sachdev,+919084637796,West Bengal,Surat,Daily Wage Worker,7,Individual,17724.98,Stable,41,2634.86,12,0.83,1.08,90.08,9,299,11772.2,0.82,0,30,0.72,25,0,-0.01,9,122,11731.99,7,Own House,4,Two-Wheeler,1,4,0,1
325b5fb9,Laban Narain,01203479550,Maharashtra,Vijayawada,Farmer,3,Partnership,42029.07,Seasonal,32,1586.64,9,0.65,0.95,84.73,8,699,11714.65,0.65,1,100,0.79,34,0,0.78,5,27,33567.32,3,Family,5,Two-Wheeler,0,0,2,1
cdf811cf,Jatin Gade,+913782677270,Uttar Pradesh,Kolkata,Food Stall Owner,2,Partnership,23336.4,Stable,41,2305.67,12,0.74,0.81,92.35,9,499,6560.57,0.79,1,100,0.32,43,0,-0.02,3,22,17667.26,2,Own House,3,Two-Wheeler,1,2,0,1
a7c3fe21,Reyansh Saha,1406906567,West Bengal,Khammam,Domestic Worker,3,Proprietorship,30851.89,Irregular,42,1637.18,12,0.61,1.32,95.9,9,699,9946.45,0.58,1,50,0.32,39,0,0.22,0,42,23212.63,3,Rented,5,None,0,0,2,1
bbb4dd71,Radha Kari,6642126105,Uttar Pradesh,Loni,Farmer,4,Proprietorship,21617.72,Stable,49,2083.17,14,0.9,0.86,92.19,9,199,2693.45,0.9,0,0,0.8,26,1,0.38,7,36,16385.1,4,Rented,1,Two-Wheeler,0,0,1,1
6c8074a1,Bakhshi Mukherjee,2014545756,Uttar Pradesh,Aligarh,Transport Worker,5,Partnership,38549.93,Stable,40,1805.32,12,0.97,1.04,73.86,7,299,12245.69,0.95,0,50,0.75,24,0,0.01,0,83,28089.78,5,Rented,4,Two-Wheeler,1,3,1,1
3d75730f,Henry Chacko,6421826235,Uttar Pradesh,Amroha,Artisan,9,Proprietorship,32336.12,Stable,53,1036.84,15,0.79,1.23,100.0,10,299,8795.82,0.8,1,50,0.63,43,0,0.33,2,139,21002.6,9,Family,10,None,0,0,0,1
553658b5,Lucky Lad,+919489292708,Rajasthan,Jalgaon,Food Stall Owner,5,Individual,47393.28,Irregular,43,2239.49,12,0.69,1.12,81.14,8,699,8747.31,0.71,0,0,0.62,47,1,0.05,0,38,21176.57,5,Rented,1,Two-Wheeler,1,5,2,1
ff2f2fbd,Sudiksha Nath,01344068078,Maharashtra,Khammam,Small Trader,5,Partnership,36376.98,Stable,73,1026.95,21,0.93,1.1,100.0,10,699,12690.92,0.98,1,30,0.55,43,1,0.09,4,47,15154.64,5,Family,4,Two-Wheeler,1,4,0,1
82e190ee,Laksh Joshi,2081499846,Rajasthan,Thiruvananthapuram,Domestic Worker,1,Proprietorship,29882.99,Irregular,49,593.93,14,0.85,1.01,85.13,8,499,1000.16,0.93,1,50,0.88,27,0,0.02,1,16,22094.59,1,Own House,1,Two-Wheeler,1,2,0,1
1dccd605,Lopa Khare,8117329868,Uttar Pradesh,Rourkela,Food Stall Owner,5,Individual,30271.75,Stable,32,2505.27,9,0.81,0.92,93.89,9,199,5517.61,0.85,0,0,0.68,30,0,0.38,13,28,15510.8,5,Own House,13,Goods Vehicle,1,2,1,1
80b8b6d1,Mitesh Ratti,7443417638,Uttar Pradesh,Bhavnagar,Street Vendor,1,Partnership,9281.05,Irregular,0,593.64,1,0.34,1.13,60.94,6,299,203.78,0.27,3,0,0.77,12,1,0.4,1,10,7228.41,1,Own House,7,None,0,0,0,0
462f1c22,Vasatika Hora,+915766703625,West Bengal,Rajpur Sonarpur,Tailor,2,Proprietorship,13640.5,Seasonal,6,827.53,1,0.21,1.35,49.73,4,499,2263.13,0.14,4,100,0.85,1,1,0.48,4,13,6824.24,2,Family,2,None,0,0,0,0
252d0d63,Zaid Prabhakar,0195964805,West Bengal,Serampore,Construction Worker,6,Proprietorship,40910.96,Stable,42,1857.1,12,0.48,0.91,94.14,9,699,8287.29,0.48,0,30,0.45,44,0,0.44,15,67,31272.59,6,Rented,11,Two-Wheeler,1,3,2,1
0414199d,Libni Jain,07984330641,Rajasthan,Jamshedpur,Farmer,8,Partnership,49518.63,Stable,67,2678.67,20,0.72,0.82,81.53,8,499,11550.32,0.65,2,0,0.6,23,1,0.73,10,157,29954.51,8,Rented,14,None,1,3,0,1
887005a3,Nicholas Mahal,+912514318659,Tamil Nadu,Baranagar,Farmer,5,Proprietorship,38985.43,Seasonal,27,1355.96,8,0.79,1.1,100.0,10,699,11407.93,0.79,0,0,0.75,38,1,0.68,4,39,29314.18,5,Own House,7,Two-Wheeler,1,1,0,1
83e77ba5,Udarsh Grewal,2330992765,Uttar Pradesh,Panihati,Farmer,5,Proprietorship,38714.75,Stable,37,541.47,11,0.57,0.9,90.69,9,699,10032.42,0.61,1,0,0.85,43,0,0.68,3,74,28141.32,5,Rented,11,None,0,0,0,1
66814268,Samar Tella,06324357813,Uttar Pradesh,Chittoor,Domestic Worker,3,Individual,15307.2,Stable,59,1455.33,17,0.42,1.37,91.41,9,499,9883.79,0.5,0,50,0.68,28,0,0.02,5,56,12230.57,3,Rented,2,Two-Wheeler,1,1,1,1
133a7a68,Arin Dhaliwal,04463957137,Rajasthan,Udupi,Food Stall Owner,6,Individual,35954.23,Irregular,49,1755.38,14,0.75,1.17,86.83,8,499,9930.28,0.75,1,100,0.54,42,1,0.71,14,49,21092.3,6,Own House,11,None,1,2,2,1
2e12aaef,Tanish Kunda,+911725925210,Tamil Nadu,Bhalswa Jahangir Pur,Small Trader,10,Proprietorship,23464.83,Seasonal,48,1347.57,14,0.92,0.91,100.0,10,299,13559.54,0.95,0,30,0.52,40,0,0.74,29,92,12252.06,10,Rented,12,None,1,1,1,1
e924c36e,Eta Pandit,04725232836,Rajasthan,Nagaon,Artisan,6,Partnership,25334.74,Seasonal,36,2794.38,10,0.88,1.22,81.77,8,299,12420.48,0.82,0,0,0.4,8,0,0.16,16,99,15774.8,6,Rented,14,None,1,2,1,1
3ee63da4,Noah Ramachandran,07717454809,Uttar Pradesh,Naihati,Daily Wage Worker,2,Partnership,22489.81,Stable,34,2529.67,10,0.57,1.28,100.0,10,199,14058.54,0.47,1,100,0.73,47,1,0.09,5,11,11074.71,2,Rented,6,Two-Wheeler,0,0,0,1
c97f4644,Imaran Sunder,9476339555,West Bengal,Hyderabad,Street Vendor,2,Proprietorship,26103.93,Seasonal,48,1204.82,14,0.7,1.16,90.45,9,299,3219.51,0.73,0,0,0.77,32,0,0.42,0,14,15004.89,2,Rented,8,Two-Wheeler,1,2,1,1
c1bc0b37,Wishi Dada,4293016939,West Bengal,Tenali,Small Trader,6,Proprietorship,36235.07,Seasonal,57,916.97,17,0.9,1.23,98.82,9,199,2205.9,0.93,0,0,0.83,49,0,0.27,9,47,21190.84,6,Own House,6,None,0,0,0,1
779fe7ca,Vaishnavi Kothari,01786241409,Tamil Nadu,Gopalpur,Transport Worker,9,Partnership,18185.07,Stable,50,1627.28,15,1.0,1.34,87.37,8,699,8330.43,0.99,1,0,0.67,43,1,0.15,5,123,9758.57,9,Family,10,None,0,0,1,1
cb3a0009,Laban Murthy,+914618658761,West Bengal,Farrukhabad,Daily Wage Worker,5,Partnership,47662.88,Stable,38,2845.9,11,0.81,0.92,98.48,9,699,5986.96,0.81,0,50,0.38,31,0,0.12,8,30,37050.4,5,Own House,9,Two-Wheeler,1,2,0,1
86c7cb31,Libni Upadhyay,2946995030,Maharashtra,Ratlam,Farmer,5,Individual,15820.15,Irregular,60,1253.64,18,0.77,0.95,92.13,9,299,9484.19,0.84,0,0,0.87,37,0,0.64,10,30,6999.66,5,Rented,4,Two-Wheeler,0,0,0,1
b3df24b5,Lekha Gole,+912509262892,Maharashtra,Kurnool,Artisan,1,Individual,23494.95,Stable,10,866.65,3,0.1,1.2,53.48,5,299,364.87,0.08,2,50,0.32,7,2,0.2,2,12,14567.23,1,Family,3,Auto,0,0,0,0
cd246246,Barkha Keer,7619009799,Rajasthan,Morena,Farmer,3,Individual,18182.74,Stable,41,2808.06,12,0.69,0.85,93.83,9,299,5994.12,0.72,2,0,0.83,18,0,0.22,6,56,10240.81,3,Family,5,None,1,1,1,1
098fd34e,Vrinda Kakar,3828774539,Uttar Pradesh,Howrah,Food Stall Owner,6,Individual,46368.99,Stable,42,2214.28,12,0.74,0.89,98.16,9,499,3496.64,0.75,0,0,0.79,26,0,0.19,14,57,19898.7,6,Rented,7,Two-Wheeler,0,0,0,1
9bb52627,Nathan Dhillon,9619544803,West Bengal,Dewas,Artisan,7,Partnership,34933.24,Stable,57,2345.88,17,0.65,1.36,92.24,9,499,7466.95,0.66,1,50,0.59,57,0,-0.18,1,69,20082.03,7,Family,10,Auto,0,0,0,1
ac283a28,Hemang Nadkarni,+912305707755,West Bengal,Parbhani,Tailor,6,Individual,48843.9,Seasonal,61,848.63,18,0.83,1.08,100.0,10,499,9163.48,0.88,1,30,0.87,53,0,0.05,6,110,38423.0,6,Own House,5,None,1,1,0,1
17b2192c,Zansi Rao,04333552538,West Bengal,Adoni,Small Trader,3,Proprietorship,17243.31,Seasonal,67,1027.42,20,0.89,1.0,88.61,8,199,4046.23,0.85,2,30,0.55,17,0,0.5,1,31,9593.61,3,Own House,5,Two-Wheeler,0,0,2,1
ff938b2c,Keya Handa,6475747072,Maharashtra,Ambarnath,Artisan,5,Partnership,40768.01,Stable,23,1591.05,6,0.7,0.8,92.75,9,499,11472.07,0.65,1,100,0.49,43,1,0.76,13,88,22928.12,5,Rented,3,None,0,0,1,1
44fb4e60,Ranbir Uppal,00504464339,West Bengal,Bahraich,Artisan,4,Proprietorship,27608.19,Seasonal,55,1283.37,16,0.73,1.07,92.63,9,499,7073.44,0.8,1,0,0.38,45,0,0.05,10,30,14118.16,4,Family,11,Two-Wheeler,1,3,0,1
3a9d736d,Sanaya Roy,09095328363,Tamil Nadu,Berhampore,Transport Worker,2,Partnership,24005.68,Seasonal,17,998.88,5,0.11,1.38,26.89,2,499,2575.07,0.03,6,0,0.83,15,2,0.55,5,21,13597.31,2,Rented,1,None,1,1,0,0
833f0877,Pratyush Johal,04483034775,Maharashtra,Bhimavaram,Small Trader,1,Individual,6616.94,Seasonal,15,887.44,4,0.34,1.14,76.32,7,499,2107.19,0.43,7,0,0.85,13,2,-0.11,2,7,3677.39,1,Family,1,Two-Wheeler,1,1,0,0
06731d8d,Vrinda Muni,7873288844,Tamil Nadu,Bhiwani,Construction Worker,5,Individual,30204.81,Seasonal,58,1366.08,17,0.74,1.46,81.89,8,299,8967.5,0.78,0,0,0.54,34,1,0.22,9,46,23792.32,5,Rented,2,Two-Wheeler,0,0,0,1
b56c959c,Lohit Dutta,+914961345624,Tamil Nadu,Nashik,Domestic Worker,3,Partnership,29446.64,Irregular,40,2505.89,12,0.74,1.49,89.84,8,299,6900.22,0.79,1,30,0.68,46,0,0.33,5,35,14351.62,3,Rented,1,Two-Wheeler,0,0,0,1
ac9dac8a,Ubika Goswami,09178757528,Uttar Pradesh,Panchkula,Daily Wage Worker,6,Individual,44012.04,Seasonal,46,1075.02,13,0.73,1.02,79.58,7,299,11146.73,0.73,2,100,0.67,30,1,0.03,0,108,17979.26,6,Own House,8,None,1,3,0,1
7d84a39b,Lipika Rege,06784142156,Maharashtra,Howrah,Small Trader,3,Proprietorship,32520.33,Irregular,46,1138.08,13,0.97,1.04,94.75,9,499,4262.62,0.97,2,50,0.51,39,0,0.63,2,47,14231.68,3,Own House,4,Two-Wheeler,0,0,2,1
a26bc793,Tanish Sarin,07646125721,Tamil Nadu,Karimnagar,Artisan,6,Proprietorship,31569.03,Stable,47,1955.52,14,0.73,1.23,100.0,10,199,10024.28,0.76,1,0,0.49,39,0,0.08,17,77,24073.54,6,Rented,5,Two-Wheeler,0,0,2,1
9d73801a,Upkaar Rajagopalan,1154010473,Maharashtra,Bally,Transport Worker,5,Proprietorship,24905.59,Stable,48,1594.91,14,0.71,1.11,87.94,8,299,10424.86,0.77,0,0,0.73,28,1,0.52,4,87,13118.72,5,Family,5,None,0,0,1,1
f4e7c5ba,Nicholas Pai,4310490406,Rajasthan,Gorakhpur,Construction Worker,4,Partnership,21693.47,Seasonal,24,602.71,7,1.0,1.25,77.24,7,499,10605.28,1.0,0,0,0.75,36,1,0.42,6,64,14990.74,4,Rented,7,Two-Wheeler,0,0,0,1
19751038,Jagdish Ganguly,+917355675374,Tamil Nadu,Naihati,Domestic Worker,3,Partnership,41259.51,Seasonal,42,1236.51,12,0.5,1.08,94.4,9,299,1022.42,0.43,0,50,0.79,31,1,-0.08,5,30,28840.61,3,Own House,9,None,0,0,1,1
d85ba5f0,Ethan Taneja,08172676980,West Bengal,Bikaner,Domestic Worker,8,Partnership,29382.65,Stable,53,2073.05,15,0.96,1.14,100.0,10,699,1727.53,0.93,0,100,0.75,25,0,-0.1,11,159,20808.06,8,Own House,10,None,0,0,2,1
49687127,Siya Dalal,08726886602,Tamil Nadu,Faridabad,Daily Wage Worker,3,Partnership,34668.18,Seasonal,36,2212.52,10,0.76,1.28,80.71,8,299,2074.13,0.67,2,0,0.89,11,0,0.19,2,33,15176.31,3,Own House,8,None,1,2,0,1
fc9524f3,Yauvani Khare,+915897611608,West Bengal,Haldia,Domestic Worker,2,Individual,18393.8,Irregular,36,947.58,10,0.89,1.04,100.0,10,499,8657.0,0.96,1,100,0.71,33,0,0.76,4,24,11998.04,2,Own House,6,Auto,1,4,0,1
edc5f36f,Yachana Varghese,+914074985785,Rajasthan,Machilipatnam,Food Stall Owner,2,Proprietorship,17791.08,Stable,14,697.39,4,0.29,1.01,47.45,4,699,2353.32,0.34,4,30,0.61,23,1,-0.07,1,29,9856.55,2,Own House,6,Two-Wheeler,0,0,0,0
a7b74768,Omya Mannan,07776116654,Rajasthan,Hubli–Dharwad,Farmer,1,Individual,17360.75,Irregular,0,746.6,1,0.56,1.13,44.59,4,499,1680.01,0.65,9,100,0.74,7,1,0.79,0,18,12267.96,1,Own House,2,Two-Wheeler,0,0,0,0
22114bba,Arin Sabharwal,02021218046,Rajasthan,Howrah,Small Trader,3,Individual,31081.92,Seasonal,43,1886.49,12,0.99,1.09,89.32,8,499,3884.33,0.98,2,30,0.54,51,0,-0.04,6,56,17099.75,3,Rented,1,None,1,3,1,1
e6c0c2f7,Yashodhara Misra,02889636553,Rajasthan,Ratlam,Food Stall Owner,3,Individual,24615.61,Irregular,49,2392.5,14,0.76,1.09,89.98,8,199,7666.95,0.79,0,0,0.78,46,0,0.7,5,59,15833.63,3,Rented,12,Two-Wheeler,1,3,0,1
95facbaa,Ishwar Sehgal,05520264980,Maharashtra,Hosur,Street Vendor,1,Partnership,28970.84,Stable,47,1996.49,14,0.66,1.04,94.27,9,499,14678.44,0.74,0,100,0.49,48,0,-0.14,2,15,15428.16,1,Rented,1,None,1,4,1,1
2529be3b,Zashil Loke,6743331232,Tamil Nadu,Chandigarh,Daily Wage Worker,7,Partnership,39360.72,Seasonal,36,884.74,10,0.72,1.41,96.33,9,499,4133.45,0.67,3,100,0.83,25,0,0.76,18,119,26060.61,7,Rented,6,None,0,0,1,1
8cb320d7,Dominic De,+913742260486,Maharashtra,Malegaon,Farmer,5,Partnership,27243.12,Stable,29,807.3,8,0.77,1.3,100.0,10,499,11882.66,0.84,2,50,0.57,45,0,0.34,12,61,14964.18,5,Rented,8,Two-Wheeler,1,5,3,1
7a9f0179,Warjas Mann,+914768638915,Uttar Pradesh,Rajahmundry,Street Vendor,2,Proprietorship,15477.39,Stable,44,1258.05,13,0.95,0.9,96.69,9,499,5140.54,0.93,0,0,0.31,18,0,0.43,1,39,7390.25,2,Rented,1,None,0,0,0,1
959e9f19,Fitan Mukherjee,05276237768,Maharashtra,Ghaziabad,Street Vendor,2,Proprietorship,48529.28,Seasonal,32,2050.0,9,0.8,1.34,99.09,9,199,7085.49,0.72,0,50,0.58,29,0,0.74,5,16,26365.36,2,Rented,6,None,0,0,0,1
f9fa78ed,Netra Rege,8397980924,Uttar Pradesh,Loni,Artisan,5,Proprietorship,30831.14,Stable,51,2328.97,15,1.0,1.15,83.49,8,299,13204.97,0.9,0,30,0.44,29,0,0.8,14,73,14793.3,5,Family,10,None,0,0,0,1
05ba3246,Yash Panchal,+917529190447,West Bengal,Bally,Food Stall Owner,4,Proprietorship,32119.69,Stable,54,769.48,16,0.97,1.2,100.0,10,299,8418.53,0.93,0,100,0.47,19,0,0.76,8,59,23344.05,4,Family,1,None,0,0,2,1
78869067,Tanmayi Patel,8973667522,West Bengal,Bhiwani,Small Trader,6,Partnership,40004.85,Stable,39,1784.64,11,0.84,1.44,66.91,6,499,14060.95,0.76,1,100,0.82,46,0,0.07,14,47,21528.08,6,Own House,13,Two-Wheeler,0,0,1,1
9fe245f3,Ansh Dugal,+918215154693,Tamil Nadu,Khammam,Farmer,3,Partnership,31229.44,Irregular,36,1383.38,10,0.69,0.91,91.5,9,299,14641.53,0.6,0,0,0.55,42,1,0.38,8,18,23442.84,3,Own House,1,None,1,3,1,1
f76c8cb6,Nisha Bora,02246644805,West Bengal,South Dumdum,Daily Wage Worker,6,Individual,43886.24,Irregular,51,2023.26,15,0.95,1.27,100.0,10,199,12133.03,1.0,0,30,0.87,41,0,-0.1,4,74,32414.99,6,Family,14,Two-Wheeler,0,0,0,1
90a5894f,Harrison Mohan,9313107064,West Bengal,Salem,Domestic Worker,6,Individual,48260.95,Seasonal,49,2949.12,14,0.59,1.12,95.12,9,699,9201.34,0.65,0,0,0.86,44,0,0.51,11,34,36753.86,6,Family,4,Two-Wheeler,0,0,2,1
b51a1ba8,Theodore Bansal,+913592420213,Tamil Nadu,Thanjavur,Transport Worker,1,Individual,38794.57,Irregular,50,2349.77,15,0.71,0.84,76.58,7,199,8480.58,0.79,0,50,0.51,28,0,0.76,2,12,23168.51,1,Family,6,None,1,5,0,1
7d1810b7,Qabil Ganesh,07948146810,Tamil Nadu,Loni,Domestic Worker,7,Partnership,41501.62,Stable,56,1844.21,16,0.55,1.25,96.49,9,499,3058.21,0.59,0,30,0.61,45,1,0.12,20,132,31054.36,7,Rented,8,Two-Wheeler,1,4,0,1
08e92e51,Harinakshi Sahni,+914764125582,West Bengal,Moradabad,Artisan,5,Partnership,19575.11,Stable,62,1937.65,18,0.93,1.08,90.22,9,499,5370.66,0.94,0,0,0.52,24,0,0.55,13,88,9261.48,5,Own House,9,None,1,2,2,1
c96901da,Jairaj Parmer,00871720208,West Bengal,Mathura,Farmer,5,Partnership,36640.18,Irregular,53,2201.68,15,0.82,1.32,100.0,10,699,7002.7,0.87,0,30,0.6,23,0,0.5,12,56,19190.85,5,Rented,7,None,1,3,0,1
d1d11081,Gauri Chahal,+912831704639,West Bengal,Nashik,Tailor,4,Individual,34130.2,Seasonal,65,1582.04,19,0.59,0.98,87.33,8,199,1699.71,0.67,1,0,0.89,36,0,-0.01,9,74,26535.57,4,Rented,6,None,0,0,1,1
560355a8,Viraj Rau,08238294621,West Bengal,Moradabad,Construction Worker,4,Partnership,49678.05,Stable,63,1680.7,18,1.0,1.09,100.0,10,199,5504.32,1.0,0,100,0.72,43,1,0.35,7,25,29288.58,4,Rented,4,Two-Wheeler,1,2,1,1
b7ce5d39,Imaran Sarraf,2335229976,Tamil Nadu,Chennai,Food Stall Owner,2,Partnership,28153.74,Seasonal,46,747.87,13,0.66,1.3,100.0,10,299,11891.79,0.59,0,30,0.35,44,0,0.78,3,18,17858.58,2,Rented,5,Two-Wheeler,1,1,0,1
1f662a3c,Girish Bali,3338285648,Uttar Pradesh,Latur,Tailor,4,Proprietorship,29962.7,Seasonal,33,2589.84,9,0.58,1.34,88.55,8,699,7893.01,0.68,0,0,0.88,40,0,0.26,2,76,19221.0,4,Own House,4,None,1,3,1,1
38266a4c,Vaishnavi Sarma,+919347647327,Maharashtra,Serampore,Street Vendor,1,Proprietorship,26909.62,Seasonal,54,2052.08,16,0.8,1.3,99.92,9,199,12546.12,0.75,0,30,0.43,17,0,0.07,1,7,12205.57,1,Rented,1,None,1,1,0,1
